863,1,7.86922E+17,186328545,Gallstones are a pain in the ass and I cannot wait to have them removed!!! T3's and gaviscon are my best friends until then though 🙄🙄🙄,10/14/2016 13:31,1,t3; gaviscon,tylenol 3; gaviscon,1,gaviscon,,
172,1,8.85401E+17,940642171,@coolpupmom How about the nuvaring? Idk if there's anything scary about it but it's less scary than the iud and nexplannon,7/13/2017 7:29,1,nuvaring; iud; nexplannon,nuvaring; iud; nexplanon,1,nuvaring,,
237,2,7.29677E+17,15064971,@songsaladcast relevant any time robitussin comes up: https://t.co/FdVmL9bMBF,5/9/2016 14:18,1,robitussin,robitussin,1,dv,,
116,2,6.75605E+17,46444865,Never again will I take Shannon's advice and drink after taking nurofen,12/12/2015 9:14,1,nurofen,nurofen,1,dv,,error 1 misses drugs
1,2,6.54709E+17,21877153,Tell us how AVEENO® ECZEMA THERAPY has been a help to you. #sponsored #AveenoAdvocates http://t.co/4z5CWaAM7C,10/15/2015 17:21,1,aveeno eczema therapy,aveeno eczema therapy,1,dv,,error 2 predicts wrong drug
137,2,7.91674E+17,35007501,Someone bring me some Advil! 😫,10/27/2016 16:13,1,advil,advil,1,advil; dv,,
834,2,8.84283E+17,346317396,RT @Sadieisonfire: 2018 freshman xxl class:lil hydrantlil spoonlil 1.2 gpalil lillil fegislil weed smokingtylenol pm infinity ward…,7/10/2017 5:27,1,tylenol pm,tylenol pm,1,onfi; tylenol,,
102,2,7.95375E+17,330126283,Advil® cold products help my cold by getting rid of it #sponsored #AdvilSinusCrowd https://t.co/XN82lLLNAp,11/6/2016 21:19,1,advil,advil,1,advil; dv,,
813,2,5.3564E+17,269406949,My teeth and my head hurt Finna fry me a piece of fish and I'm taking this Advil PM Imma be knocked out,11/21/2014 3:43,1,advil pm,advil pm,1,advil; advil pm; dv,,
638,1,8.63123E+17,556687294,@trexhoney DO NOT TAKE AMBIEN!!!!!!! Melatonin yes!!! AMBIEN is highly addictive the day you don't have any you'll NEVER SLEEP AGAIN believe me,5/12/2017 20:04,1,ambien; melatonin; ambien,ambien; melatonin; ambien,1,ambien,,
414,1,6.21721E+17,305022602,Q: Is Acetominiphine or Ibuprofin better for migraines? #AskOPa,7/16/2015 16:40,1,acetominiphine; ibuprofin,acetaminophen; ibuprofen,1,ibu,,
48,2,7.94718E+17,253544878,I'm out of Advil pm. Can I take a midol and a benedryl?,11/5/2016 1:48,1,advil pm; midol; benadryl,advil pm; midol; benadryl,1,advil; advil pm; dv; midol,,error 3 predicts wrong drug when multiple drugs
